Темы:,Где найти материалы?,Входные тесты
5 класс,"Мерзляк, Виленкин, Никольский, Зубарева, Петерсон и Дорофеев (повышенный уровень)",Есть
1. Ряд натуральных чисел.,,
"2. Прямая, луч, отрезок.",,
3. Шкалы и координатный луч.,,
4. Сравнение натуральных чисел.,,
5. Сложение и вычитание натуральных чисел.,,
6. Числовые и буквенные выражения.Формулы.,,
7. Уравнение.,,
8. Умножение и деление натуральных чисел.,,
9. Упрощение выражений.,,
10. Степень числа.,,
11. Математическая модель. Решение задач.,,
12. Угол. Виды углов. Биссектриса угла.,,
13. Треугольник и его виды.Формула площади.,,
14. Прямоугольник. Формула площади.,,
15. Прямоугольный параллелепипед. Формула объема.,,
16. Окружность и круг.,,
17. Обыкновенные дроби. Правильные и неправильные дроби. Сравнение дробей. Смешанные числа.,,
18. Сложение и вычитание обыкновенных дробей с одинаковыми знаменателями. + Сложение и вычитания смешанных чисел.,,
19. Умножение обыкновенных дробей. + Умножение смешанных чисел.,,
20. Деление обыкновенных дробей. + Деление смешанных чисел.,,
21. Задачи на нахождения части от целого и целого по части.,,
"22. Десятичные дроби. Запись, сравнение десятичных дробей.",,
23. Сложение и вычитание десятичных дробей.,,
24. Умножение десятичных дробей.,,
25. Деление десятичных дробей.,,
26. Среднее арифметическое.,,
27. Проценты. Решение задач.,,
6 класс,"Мерзляк, Виленкин, Никольский, Зубарева, Петерсон и Дорофеев (повышенный уровень)",Есть
"1. Делители и кратные. Делимость произведения, суммы и разности чисел.",,
"2. Признаки делимости на 2, 5, 10, 4 и 25.",,
3. Признаки делимости на 3 и 9.,,
4. Простые числа. Разложение числа на простые множители.,,
5. Наибольший общий делитель.,,
6. Наименьшее общее кратное.,,
7. Основное свойство дроби. Сокращение дробей.,,
8. Приведение дробей к общему знаменателю. Сравнение дробей.,,
9. Сложение и вычитание дробей с разными знаменателями. + Сложение и вычитание смешанных чисел.,,
10. Умножение дробей. Нахождение дроби от числа.,,
11. Деление дробей.Взаимно обратные числа. Деление дробей.,,
12. Нахождение числа по заданному значению дроби.,,
13. Преобразование обыкновенной дроби в десятичную.,,
14. Отношения. Деление числа в данном отношении.,,
15. Пропорции.,,
16. Прямая и обратная пропорциональные зависимости.,,
17. Масштаб.,,
18. Окружность и круг. Длина окружности и площадь круга.,,
19. Симметрия.,,
"20. Цилиндр, конус,шар.",,
21. Положительные и отрицательные числа. Координатная прямая.,,
22. Модуль числа. Противоположные числа. Целые числа. Рациональные числа.,,
23. Сравнение чисел рациональных чисел.,,
24. Сложение рациональных чисел.,,
25. Вычитание рациональных чисел.,,
26. Умножение и деление рациональных чисел.,,
27. Раскрытие скобок. Упрощение выражений.,,
28. Решение уравнений.,,
29. Решение задач на составление уравнений.,,
30. Координатная плоскость. Графики.,,
7 класс,,Есть
Алгебра,"Колягин, Макарычев, Алимов, Никольский, Мордкович, Дорофеев, Петерсон, Мерзляк, Зив.",
